,일자,1차접종누계,2차접종누계,주간1차접종자수,주간2차접종자수
0,20210318,31140,0,5729,0
1,20210325,35268,217,4128,217
2,20210401,40298,659,5030,442
3,20210408,46922,1387,6624,728
4,20210415,56430,2946,9508,1559
5,20210422,78721,2946,22291,0
6,20210429,117794,5637,39073,2691
7,20210506,151913,13251,34119,7614
8,20210513,157874,27705,5961,14454
9,20210520,158351,51465,477,23760
10,20210527,167685,86997,9334,35532
11,20210603,274006,99038,106321,12041
12,20210610,402177,102403,128171,3365
13,20210617,582909,153267,180732,50864
14,20210624,641113,181795,58204,28528
15,20210630,651187,203101,10074,21306
