기준년월 : 2019.05,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2018년 05월,2019년 05월,증감률(%)
운항(편),국내,17101,16924,-1
운항(편),국제,41157,45210,9.8
운항(편),계,58258,62134,6.7
여객(명),국내,2895935,2870041,-0.9
여객(명),국제,6855029,7432887,8.4
여객(명),계,9750964,10302928,5.7
화물(톤),국내,21841,20593,-5.7
화물(톤),국제,342629,328899,-4
화물(톤),계,364470,349492,-4.1
