,Unnamed: 0,지역,매출액,관객수,주,거리두기
0,5,서울시,"3,361,656,490","368,804",2020-08-16,2.0
1,5,서울시,"2,189,550,260","247,399",2020-08-23,2.0
2,5,서울시,"1,842,116,650","200,100",2020-08-30,2.5
3,5,서울시,"1,733,144,880","188,395",2020-09-06,2.5
4,5,서울시,"1,571,785,690","172,993",2020-09-13,2.0
5,5,서울시,"1,686,750,342","194,747",2020-09-20,2.0
6,6,서울시,"4,365,204,790","464,557",2020-09-27,2.0
7,5,서울시,"2,310,220,710","243,950",2020-10-04,2.0
8,5,서울시,"1,635,498,260","175,172",2020-10-11,1.0
9,5,서울시,"2,051,049,940","235,614",2020-10-18,1.0
10,5,서울시,"2,345,716,060","266,763",2020-10-25,1.0
11,5,서울시,"2,686,707,390","290,238",2020-11-01,1.0
12,5,서울시,"2,595,964,430","284,599",2020-11-08,1.5
13,5,서울시,"2,087,858,250","229,587",2020-11-15,1.5
14,5,서울시,"1,340,672,930","155,879",2020-11-22,2.0
15,5,서울시,"978,608,420","116,440",2020-11-29,2.0
16,5,서울시,"752,040,660","87,820",2020-12-06,2.5
17,5,서울시,"606,209,800","71,087",2020-12-13,2.5
18,5,서울시,"1,249,933,430","141,279",2020-12-20,2.5
19,5,서울시,"754,663,270","91,153",2020-12-27,2.5
